"","recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"267","Portugese Kale Soup","Appetites",44,"soup","mediterranean","Non-vegetarian","<span style='color: #CD2626;'>ham hock</span> or <span style='color: #CD2626;'>kidney beans</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #CD2626;'>linguica</span>, <span style='color: #458B00;'>kale</span>, <span style='color: #CD2626;'>yukon gold potato</span>, <span style='color: #458B00;'>sherry vinegar</span>, <span style='color: #458B00;'>red pepper flakes</span>",5,4
"268","halal cart chicken and rice","Anylist",NA,"meal","middle eastern","Non-vegetarian","<span style='color: #458B00;'>chicken thigh</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>oregano</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>white rice</span>, <span style='color: #CD2626;'>shredded lettuce</span>, <span style='color: #458B00;'>harissa</span>, <span style='color: #CDAD00;'>greek yogurt</span>, <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>white vinegar</span>",5,3
"269","punjabi black lentils","Anylist",NA,"meal","indian","Vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>cumin seed</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>garam masala</span>, <span style='color: #458B00;'>chili powder</span>, <span style='color: #458B00;'>tomato sauce</span>, <span style='color: #CD2626;'>black lentils</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: #458B00;'>cilantro</span>",5,1
"270","cuban picadillo","Anylist",NA,"meal","latin","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>red bell pepper</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: #458B00;'>white wine</span>, <span style='color: orange;'>ground beef</span>, <span style='color: #CD2626;'>diced tomatoes</span>, <span style='color: #CD2626;'>yukon gold potato</span>, <span style='color: #458B00;'>worcestershire sauce</span>, <span style='color: #458B00;'>raisins</span>, <span style='color: #458B00;'>pimento olives</span>, <span style='color: #458B00;'>capers</span>",5,3
"271","black bean burger","Anylist",NA,"prep","western","Vegetarian","<span style='color: #458B00;'>black beans</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #CD2626;'>poblano pepper</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>chipotle</span>, <span style='color: #458B00;'>cashews</span>, <span style='color: #458B00;'>feta</span> or <span style='color: #CD2626;'>cotija</span>, <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #458B00;'>panko</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>garlic</span>",5,1
"272","butternut squash and farro bowls","Anylist",NA,"meal","western","Vegetarian","<span style='color: #458B00;'>farro</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butternut squash</span>, <span style='color: #458B00;'>pickled onion</span>, <span style='color: #458B00;'>pepitas</span>, <span style='color: #458B00;'>feta</span>, <span style='color: #CD2626;'>pomegranate</span>",5,1
"273","paella with shrip and fava beans","Anylist",NA,"meal","mediterranean","Non-vegetarian","<span style='color: #CD2626;'>shrimp</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: orange;'>thyme</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>smoked paprika</span>, <span style='color: #CD2626;'>spanish chorizo</span>, <span style='color: #458B00;'>white rice</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #CD2626;'>fava beans</span> or <span style='color: #CD2626;'>lima beans</span>",5,4
"274","pressure cooker corn risotto","Anylist",NA,"main","western","Non-vegetarian","<span style='color: #458B00;'>arborio rice</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>corn</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>white wine</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: orange;'>thyme</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>turmeric</span>",3,1
"275","crispy baked pasta with mushrooms, sausage and parmesan cream sauce","Anylist",NA,"meal","western","Non-vegetarian","<span style='color: #458B00;'>panko</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: orange;'>chives</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>chicken apple sausage</span> or <span style='color: #CD2626;'>sweet italian sausage</span> or <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: #458B00;'>pasta</span>",5,3
"276","kenji's meatloaf","Anylist",NA,"main","western","Non-vegetarian","<span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>buttermilk</span>, <span style='color: #CD2626;'>gelatin</span>, <span style='color: #458B00;'>sandwich bread</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>anchovies</span>, <span style='color: #458B00;'>marmite</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>paprika</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>cheddar</span> or <span style='color: #CD2626;'>provolone</span> or <span style='color: #CD2626;'>jack cheese</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>ketchup</span>, <span style='color: #458B00;'>brown sugar</span>, <span style='color: #458B00;'>apple cider vinegar</span>, <span style='color: orange;'>ground beef</span>, <span style='color: #458B00;'>ground pork</span>, <span style='color: #458B00;'>egg</span>",5,6
"277","extra flaky scallion pancakes","Anylist",NA,"main","asian","Vegan","<span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>rice wine vinegar</span> or <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>vegetable oil</span>",1,0
"278","peanut noodles with shrimp","Anylist",NA,"meal","asian","Non-vegetarian","<span style='color: orange;'>lime</span>, <span style='color: #458B00;'>peanut butter</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #CD2626;'>rice noodles</span>, <span style='color: #CDAD00;'>peanut oil</span> or <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>shrimp</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>jalapeno</span> or <span style='color: #458B00;'>cilantro</span>",5,5
"279","teriyaki salmon bowls","Anylist",NA,"meal","asian","Non-vegetarian","<span style='color: #CD2626;'>salmon</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>rice</span>, <span style='color: #CD2626;'>avocado</span>, <span style='color: #458B00;'>cucumber</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>teriyaki sauce</span>, <span style='color: #458B00;'>sesame seeds</span>",5,2
"280","beef with broccoli","Wok",118,"meal","asian","Non-vegetarian","<span style='color: #458B00;'>flank steak</span> or <span style='color: #CD2626;'>skirt steak</span> or <span style='color: #CD2626;'>hanger steak</span> or <span style='color: #CD2626;'>flap meat</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>xiaoxing wine</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>oyster sauce</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #CD2626;'>broccoli</span>, <span style='color: #458B00;'>rice</span>",5,1
"281","refried beans","Anylist",NA,"side","latin","Non-vegetarian","<span style='color: #CD2626;'>pinto beans</span> or <span style='color: #458B00;'>black beans</span>, <span style='color: #CD2626;'>epazote</span> or <span style='color: #458B00;'>oregano</span>, <span style='color: orange;'>white onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>lard</span> or <span style='color: #458B00;'>bacon fat</span> or <span style='color: #458B00;'>vegetable oil</span> or <span style='color: #458B00;'>butter</span>",3,1
"282","crusty baked cauliflower and farro","Anylist",NA,"main","western","Non-vegetarian","<span style='color: #458B00;'>farro</span>, <span style='color: #458B00;'>chicken stock</span> or <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>cauliflower</span>, <span style='color: #CD2626;'>sage</span> or <span style='color: #458B00;'>capers</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>fontina</span>, <span style='color: #458B00;'>panko</span>, <span style='color: #CD2626;'>ricotta</span> or <span style='color: #CD2626;'>cottage cheese</span> or <span style='color: #CD2626;'>parsley</span> or parmesan",5,5
"283","lentil and chickpea salad with feta and tahini","Anylist",NA,"main","mediterranean","Vegetarian","<span style='color: #458B00;'>lentils</span> or <span style='color: #CD2626;'>black lentils</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>sage</span> or <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>tahini</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>canned chickpeas</span>, <span style='color: #458B00;'>preserved lemon</span> or <span style='color: orange;'>red onion</span> or <span style='color: #458B00;'>pickled onion</span>, <span style='color: #458B00;'>feta</span>, <span style='color: #458B00;'>sesame seeds</span>",1,0
"284","ground lamb pulao","Anylist",NA,"meal","indian","Non-vegetarian","<span style='color: #458B00;'>basmati rice</span>, <span style='color: #CD2626;'>ground lamb</span> or <span style='color: orange;'>ground beef</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>chile powder</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: orange;'>mint</span>",3,3
"285","broccoli cheese soup","Anylist",NA,"soup","western","Non-vegetarian","<span style='color: #CD2626;'>broccoli</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>milk</span>, <span style='color: #458B00;'>russet potato</span>, <span style='color: #CD2626;'>cheddar</span>, <span style='color: #458B00;'>american cheese</span>, <span style='color: #458B00;'>mustard powder</span>",5,2
"286","parmesan broth","Anylist",NA,"prep","western","Vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: orange;'>thyme</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: #CD2626;'>parmesan rind</span>",5,3
"287","mushroom farro soup with parmesan broth","Anylist",NA,"soup","western","Non-vegetarian","<span style='color: #458B00;'>farro</span>, <span style='color: #CD2626;'>dried mushrooms</span> or <span style='color: #CD2626;'>dried porcini mushrooms</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parmesan broth</span>, <span style='color: #458B00;'>white wine</span>, <span style='color: orange;'>thyme</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>sherry vinegar</span>",5,4
"288","cauliflower wedge","every day",42,"side","western","Vegetarian","<span style='color: #CD2626;'>cauliflower</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>white vinegar</span>, <span style='color: orange;'>currants</span> or <span style='color: #458B00;'>capers</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #CD2626;'>parsley</span>",5,3
"289","mango apple ceviche","every day",45,"side","latin","Vegan","<span style='color: #458B00;'>mango</span>, <span style='color: orange;'>red onion</span>, <span style='color: #CD2626;'>serrano pepper</span> or <span style='color: #CD2626;'>jalapeno</span> or <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>green apple</span>, <span style='color: #458B00;'>cilantro</span> or <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>sunflower seeds</span>",5,4
"290","winter slaw with farro","every day",48,"side","western","Vegetarian","<span style='color: #CD2626;'>dried apricots</span>, <span style='color: #458B00;'>white vinegar</span>, <span style='color: #CD2626;'>green cabbage</span>, <span style='color: #458B00;'>farro</span>, <span style='color: #458B00;'>almonds</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>olive oil</span>",5,2
"291","smashed cucumber salad, peanuts and peas","every day",50,"side","asian","Vegan","<span style='color: #458B00;'>cucumber</span>, <span style='color: #458B00;'>sake</span>, <span style='color: #458B00;'>rice vinegar</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>peanuts</span>, <span style='color: #CD2626;'>wasabi peas</span> or <span style='color: #CD2626;'>sriracha peas</span>",5,1
"292","sushi takeout cobb","every day",53,"salad","asian","Vegan","<span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>rice vinegar</span>, <span style='color: #458B00;'>miso</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #CD2626;'>avocado</span>, <span style='color: #CD2626;'>napa cabbage</span> or <span style='color: #CD2626;'>cabbage</span>, <span style='color: #458B00;'>edamame</span>, <span style='color: #458B00;'>tofu</span> or <span style='color: #CDAD00;'>silken tofu</span>, <span style='color: #458B00;'>cucumber</span>, <span style='color: #CD2626;'>daikon</span> or <span style='color: orange;'>chives</span>",5,4
"293","charred corn succotash with lime and crispy shallots","every day",59,"side","western","Vegan","<span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>dark brown sugar</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #CD2626;'>green beans</span>, <span style='color: #458B00;'>corn</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>thai chili</span> or <span style='color: #CD2626;'>jalapeno</span> or <span style='color: #CD2626;'>thai basil</span> or <span style='color: orange;'>basil</span>",5,4
"294","carrot salad with tahini, chickpeas and pistachios","every day",68,"side","mediterranean","Vegan","<span style='color: #458B00;'>canned chickpeas</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>tahini</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>pistachios</span>",5,1
"295","cucumber yogurt gazpacho","every day",82,"side","western","Vegetarian","<span style='color: #458B00;'>cucumber</span>, <span style='color: #CDAD00;'>greek yogurt</span>, <span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>mint</span>, <span style='color: #458B00;'>almonds</span>, <span style='color: #CD2626;'>grapes</span>",5,3
"296","broccoli melts","every day",94,"main","western","Vegetarian","<span style='color: #CD2626;'>broccoli</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: orange;'>crusty bread</span>, <span style='color: #CD2626;'>provolone</span>",5,3
"297","artichoke and parmesan galette","every day",97,"main","western","Vegetarian","<span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>sour cream</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>artichoke hearts</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #458B00;'>sour cream</span>, <span style='color: #458B00;'>milk</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span>",5,1
"298","grilled yogurt flatbreads","every day",102,"side","middle eastern","Vegetarian","<span style='color: #458B00;'>active dry yeast</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CDAD00;'>greek yogurt</span> or <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>flour</span>",1,0
"299","halloumi with eggplant and zucchini","every day",116,"side","mediterranean","Vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>oregano</span> or <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>zucchini</span>, <span style='color: #CD2626;'>eggplant</span> or <span style='color: #458B00;'>halloumi</span>",1,0
"300","parmesan dutch baby with creamed mushrooms","every day",118,"main","western","Vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #CD2626;'>cremini mushrooms</span>, <span style='color: #458B00;'>white wine</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>milk</span>, <span style='color: #458B00;'>flour</span>, <span style='color: orange;'>chives</span> or <span style='color: orange;'>thyme</span> or <span style='color: #458B00;'>parmesan</span>",5,2
"301","crispy tofu with sesame peanut pesto","every day",121,"main","asian","Vegan","<span style='color: #458B00;'>tofu</span>, <span style='color: #CD2626;'>broccoli</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>low sodium soy sauce</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>sesame seeds</span>, <span style='color: #458B00;'>peanuts</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>rice vinegar</span>, <span style='color: #458B00;'>dark brown sugar</span>, <span style='color: #458B00;'>scallions</span>",5,1
"302","fried green plantains with avocado black bean salsa","every day",123,"main","latin","Vegan","<span style='color: orange;'>lime</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #CD2626;'>avocado</span>, <span style='color: #458B00;'>mango</span> or <span style='color: #CD2626;'>pineapple</span> or <span style='color: #CD2626;'>papaya</span>, <span style='color: #458B00;'>black beans</span>, <span style='color: #CD2626;'>green plantain</span>",5,3
"303","broccoli , cheddar and wild rice fritters","every day",126,"main","western","Vegetarian","<span style='color: #458B00;'>egg</span>, <span style='color: #CD2626;'>wild rice</span> or <span style='color: #458B00;'>rice</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #CD2626;'>cheddar</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>broccoli</span>",5,3
"304","wild mushroom shepherds pie","every day",129,"main","western","Non-vegetarian","<span style='color: #CD2626;'>dried mushrooms</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>sherry</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>russet potato</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>creme fraiche</span> or <span style='color: #458B00;'>sour cream</span>, <span style='color: #458B00;'>milk</span> or <span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>smoked paprika</span> or <span style='color: #458B00;'>paprika</span>, <span style='color: #CD2626;'>parsley</span>",5,3
"305","spring fried barley with sesame sizzled egg","every day",131,"main","western","Vegetarian","<span style='color: #CDAD00;'>peanut oil</span> or <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>barley</span>, <span style='color: #458B00;'>peas</span> or <span style='color: #CD2626;'>fava beans</span> or <span style='color: #CD2626;'>asparagus</span> or <span style='color: #CD2626;'>snap peas</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>sesame seeds</span>",1,0
"306","zucchini stuffed zucchini","every day",134,"main","western","Vegetarian","<span style='color: #458B00;'>zucchini</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>panko</span>, <span style='color: #CD2626;'>gruyere</span> or <span style='color: #CD2626;'>comte</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>capers</span>, <span style='color: #458B00;'>oregano</span> or <span style='color: #458B00;'>dried oregano</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: orange;'>mint</span> or <span style='color: #458B00;'>olive oil</span>",5,3
"307","sweet potato steaks with green bean slaw","every day",139,"main","western","Vegan","<span style='color: #458B00;'>dark brown sugar</span>, <span style='color: #458B00;'>paprika</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>onion powder</span>, <span style='color: #458B00;'>garlic powder</span>, <span style='color: #458B00;'>chili powder</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>sweet potato</span>, <span style='color: #458B00;'>apple cider vinegar</span>, <span style='color: #CD2626;'>green beans</span>, <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #458B00;'>dijon mustard</span>",5,1
"308","pizza beans","every day",143,"main","western","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>white wine</span> or <span style='color: #458B00;'>red wine</span> or <span style='color: #458B00;'>kale</span>, <span style='color: #CDAD00;'>crushed tomatoes</span>, <span style='color: #CD2626;'>giant white beans</span> or <span style='color: #458B00;'>white beans</span>, <span style='color: #458B00;'>chicken stock</span> or <span style='color: orange;'>vegetable stock</span>, <span style='color: #CD2626;'>mozzerella</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #CD2626;'>parsley</span>",5,5
"309","garlic bread","every day",144,"side","western","Vegetarian","<span style='color: #CD2626;'>baguette</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>dried oregano</span> or <span style='color: #458B00;'>parmesan</span>, <span style='color: #CD2626;'>parsley</span> or <span style='color: orange;'>chives</span>",5,2
"310","cacio e pepe potatoes anna","every day",145,"main","mediterranean","Vegetarian","<span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>yukon gold potato</span>, <span style='color: #CD2626;'>arugula</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: orange;'>chives</span> or <span style='color: #458B00;'>olive oil</span>",5,3
"311","carmelized cabbage risotto","every day",148,"main","western","Non-vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #CD2626;'>cabbage</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>arborio rice</span>, <span style='color: #458B00;'>white wine</span>, <span style='color: #458B00;'>parmesan</span>",5,1
"312","brussels and three chese pasta bake","every day",157,"main","western","Vegetarian","<span style='color: #458B00;'>pasta</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>brussels sprouts</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>flour</span>, <span style='color: orange;'>vegetable stock</span> or <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #CD2626;'>gruyere</span>, <span style='color: #CD2626;'>fontina</span>",5,4
"313","crispy short rib carnitas with sunset slaw","every day",169,"main","latin","Non-vegetarian","<span style='color: #458B00;'>chili powder</span>, <span style='color: #CD2626;'>bone in short rib</span>, <span style='color: #458B00;'>orange</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>red cabbage</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>mayonnaise</span> or <span style='color: #458B00;'>sour cream</span> or <span style='color: #458B00;'>yogurt</span>, <span style='color: #458B00;'>cilantro</span> or <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>corn tortillas</span>",5,3
"314","quick sausage, kale and crouton saute","every day",172,"main","western","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>crusty bread</span> or <span style='color: #458B00;'>croutons</span>, <span style='color: #CD2626;'>sweet italian sausage</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>white beans</span>, <span style='color: #458B00;'>kale</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>parmesan</span>",5,2
"315","beef bulgogi tacos","every day",191,"main","asian","Non-vegetarian","<span style='color: orange;'>ground beef</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>rice vinegar</span>, <span style='color: #458B00;'>brown sugar</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>gochujang</span> or <span style='color: #458B00;'>sriracha</span>, <span style='color: #CD2626;'>shredded lettuce</span> or <span style='color: #CD2626;'>iceberg lettuce</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>flour tortillas</span>, <span style='color: #458B00;'>kimchi</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>sesame seeds</span>",5,3
